id,username,name,deg
2211573571,finatra,Finatra,1077
155890917,alexandermikuta,👨🏻‍💻|🇦|🇱|🇪|🇽|👨🏻‍💻,65
45646800,pfeiffer_d_,Daniel Pfeiffer,54
97209103,arselvam,arselvam,53
104135733,oleg_kovalenko,Oleg Kovalenko,53
17923717,mmt_lvt,MMT+LVT,47
217926511,juhanlol,JU Han,41
18130341,zen_hoffman,Zen Hoffman,39
202462512,6nop,ʇǝu˙ƃolɐq,36
721040721428496384,clarissa_briner,Clarissa Briner,33
30380078,scottclasen,Scott Clasen,33
828653382,cruxkarina,karina,32
38438628,dsarndt,Daniel Arndt,30
19264383,etuleu,Erdal T,30
18518302,chokha,chokha,29
25930069,ximyu,Ximing Yu,29
72824886,ya2o,Yann 🌿,29
159548897,hossamkarim,Hossam Karim,27
186599364,walezz,Walid Lezzar,27
14268595,felipehummel,Felipe Hummel,26
1143870019,omidb_,Omid,26
22399212,youfoundryan,Ryan,25
163053748,gabfssilva,Gabriel F.,24
94830953,sslavic,Stevo Slavić,24
353624316,liolalesluli,Riccardo Sakakini,23
15525039,dgomesbr,Diego Magalhães ☁,23
572402770,ephemeralsnow,m.yuzuki,23
89166519,pablogeek,Pablo Martinez,22
105453862,yasarcanyilmaz,Yaşarcan Yılmaz,22
263345211,_PelumiT,Pelumi Tejumola,22
36253189,stabbylambda,David Stone,22
45563099,scosenza,Steve Cosenza,22
72892114,romanNekhor,Roman Nekhoroshev,21
3180004740,ya_feng_li,YaFengLi,21
16291561,phoe6,Senthil Kumaran,21
79595091,piyushsamaiya,Piyush Samaiya,21
8121102,wing328,William Cheng,21
1678751797,mostlycode,Mostly Code,21
2292842346,mestersiraly,mestersiraly,20
231981381,bossertue,William,20
31308161,brianwdunlap,Brian Dunlap,20
230402860,akaRahim,Rahim Khan,20
777993,shoez,Tom Leitch,19
14047443,b0c1,b0c1,19
2807567893,LamedB,Leon,18
2188485847,darionyaphet,darion,18
1423550396,seandcurran,Sean Curran,18
726845892,_jagauthier,Jean-André Gauthier,18
1705172826,souza_aleff,Aleff Souza,18
21275948,gentlesik,Shin Hyosik 🎗,18
71858257,pvoznenko,Pavlo Voznenko,17
146926128,cmfriend1979,Chris Friend,17
330188188,GillesCornu,Carbace Gollegtor,17
20429653,hlysig,hlysig,17
112229916,DK_O_O,Dirghayu Kaninde,16
239754548,Morsicus,Mickaël Fortunato,16
144874132,knutwalker,Paul Horn,16
2894802179,oltyant,Tamas Oltyan,16
39647070,rainboyan,Rain,16
309103,mediaslave,Tyler Nelson,16
557355015,massimolopo,Massimo Loporchio,15
22607026,matthewfellows,Matt Fellows,15
57442248,alambert,Alex Lambert,15
128083937,javouhey,Gavin ∞,15
2569292911,restunited,REST United,15
187470807,sdelanghe,Stefaan Delanghe,15
27622588,akhilkodali,Akhil Kodali,15
41781144,JoaoVasques,João Vazao Vasques,15
46568954,nmccready,Nicholas McCready,15
2951692697,jouerose,Joue Rose,15
28264289,renanmzmendes,Renan Mendes,15
229136582,eliocapelati,Elio Capelati Jr,14
15229292,sohm,Sebastian,14
4741283065,cxiaoer,chenxiaoer,14
14943648,andreisavu,Andrei Savu,14
25573483,jimschubert,Jim Schubert,14
14086172,ppatil,Parth Patil,14
179305666,kevino,kevin oliver,14
18888643,devshorts,devshorts,13
46190825,SandonSpeaks,Sandon Jacobs,13
57910490,ochoto,Ochoto #EsAhora!,13
18727367,phrojoe,Joe Eisenberg,13
2995644829,developerangst,Developer Angst,13
821682451344814080,yanhom1314,yanhom,13
118502053,akaRomka,Roman Vasylenko,12
117095723,usermissing,Ashwin Sharma,12
77683565,oleg_smetanin,Oleg Smetanin,12
867249478213840896,nexusnexusnews,nexusnexusnews,12
811187461,davececere,David Cecere,12
38413789,asutoshjg,Asutosh J G,12
2589181294,packux,Panos Athanasiou,12
77898630,vlad_gorsky,VladG,12
2834153600,sqjs86,fangs,12
258275588,riteshsingh1979,Ritesh kr Singh.,12
339036388,adericbourg,Alban Dericbourg,12
582575978,ChatornAe,SmilingAwesome,11
170505780,timsu80,Tims,11
734397589282512899,awtem,Julian Becker,11
84434355,angelcervera,Angel Cervera 🇪🇺,11
129190355,albert_puig,albert puig,11
173051972,mmchougule,Mayur Chougule,11
89901477,francknouama,Franck NOUAMA,11
80472598,mvelez1984,Mark Velez,11
3184796738,lorancechen,Lorance Chen,11
12882122,jrosskopf,Joachim Rosskopf,11
277674641,sascha10000,Sascha,11
19809371,gypsyNight,Mamunar Rashid,11
3004062429,danutchindris,Danut,11
813063432781975552,Anders_TT6,Anders Tan,10
191946641,hep_hepablep,darcy saum,10
425275415,SleimanJneidi,Sleiman Jneidi,10
18481673,seanachai,Sean Smith,10
2981803620,bbeuth,Ben Beuth,10
706599913220608000,micah_rowe4,Micah Rowe,10
719155046521380864,ImportSource123,Charles,10
54246282,RoryBramwell,Rory Bramwell,10
50605290,wfunnell,Will Funnell,10
326410372,devlogs,devlogs,10
811313575776157697,www_electrition,peyman electrition,10
101532374,jmcarey,Jason Carey,10
1283297612,michalvelek,Michal Velek,10
135145368,charmalloc,Joe Stein,10
1894132591,whitilied,qiyuan wang,10
111022082,kodemmah,Hammed RAMDANI,10
27839893,l0rdn1kk0n,Michael Haitz,9
44679273,franckrasolo,Franck Rasolo,9
2396638968,christian861220,Christian Isac Palma,9
16387503,bitshifta,Thomas Khalil,9
