id,username,name,followers,friends,deg
25731201,alvinalexander,Alvin Alexander,2799,410,1563
719354688,ShadajL,Shadaj Laddad,1336,125,880
15442198,ramnivas,ramnivas,2079,377,28
53403316,kirlich,Vedad Kirlic,133,249,28
408464106,donebutnotdone,(   ͡ º ͜ʖ ͡º ),46,771,26
1056156630,MaxeyWen,Max Wen,155,1271,25
142651167,zachncst,Zach Taylor,120,807,25
14191399,BartSchuller,Bart Schuller,150,275,24
19420634,jits_b,Jiten (Jits) Bhagat,709,4992,23
430644703,Julien_Lau,Julien Laurenceau,213,1761,23
19171811,malcgreaves,Malcolm Greaves,237,475,22
4500991880,random_0909,Random0909,63,1154,22
1166532144,FrankFischerMD,FrankFischerMD,39,325,22
36497295,mattgumbley,Matt Gumbley MØCUV,780,967,22
153180034,chosenbreed,Eric Lubisse,419,1431,21
14192072,michaelmoss,Michael Moss,245,882,21
2646092250,thomasmouu,Thomas Mouu,8,26,20
9794252,timreid,Tim Reid,203,525,20
850613035202904066,b0rs1k,Olzhas Aitkaliyev,41,185,20
178310729,imohitbhatia,Mohit Bhatia,389,4482,20
524346043,oussema2k,Oussema TOUKEBRI,201,2580,20
14565895,dynofu,Dyno Fu🧢🇺🇸🇨🇳,100,546,19
83856327,steve_objectify,Steve Chaloner,790,482,19
92993934,bryanpenner,Bryan Penner,78,288,19
34601615,SafetyWord,Safety Word,23,56,19
3317710494,sambhadrashette,Sachin Bhadrashette🇮🇳,25,662,18
77294646,Basu_kalloli,Basavaraj Kalloli,198,272,18
227652179,santhosh_menon,Santhosh Menon,97,1625,18
27862809,temonehm,temon,718,1018,17
14629671,togm,uǝǝɹ6 шoʇ,66,404,17
1087321726663430144,guy_stone,GuyStone,7,339,17
497595779,maltiyadav1990,Malti Yadav,77,207,17
1902636858,krvajalmiguel,Miguel Carvajal,160,1795,17
114165505,alvaronistal,Alvaro Nistal,283,342,16
1180006730148782081,KatzirUdi,Udi Katzir,4,216,16
28289260,billgoldsworthy,Bill Goldsworthy,66,281,16
2568919219,Azimkangda,Azim kangda,17,165,15
2463473586,demoniontko,Dominika Borek,23,134,15
257340094,sureshthenrajan,Suresh  Thenrajan,8,185,15
303150971,mamchugh_uk,Michael McHugh,11,198,15
37667306,IZIREN,Iziren Oise,739,4828,15
1179507573143195650,lefevre_zachary,Zachary LeFevre,0,66,14
4742390610,r46956,divyanshu rawat,443,4389,14
843600013,serdeliverance,serdeliverance,37,503,14
163284111,_Fransois,François,102,153,14
3103560744,BMadusudanan,Madusudanan.B.N,159,164,14
49192289,uhashimi,Umer Hashimi,17,262,14
21998170,0l3g,0l3g,33,78,14
165357114,keweishang,Kewei Shang,72,246,14
2567255050,harish_yar,Harish Yarlagadda,184,515,13
135295304,jeqo89,Jorge Quilcate,602,1793,13
320994155,uctptep,Alexlexlex,156,4703,13
3358760632,SzmurlokDev,Karol Szmurło,36,162,13
956560501890277377,Simon07638131,Simon,1,101,13
20839384,fkorling,Filip Körling,390,1138,13
54922537,damienreilly,Damien O'Reilly,101,85,12
31659470,thekiRach,Sukhanov Kirill,200,287,12
2207660990,0xTelegraph,Julien P.,86,293,12
14828081,fastzhong,Alan Zhong,256,819,12
17450808,josrzn,Jos Rozen,289,491,12
191755942,Janahan__,Janahan The Elefunt,247,346,12
38171886,vincent_daniel,Vincent Daniel,249,347,12
18531491,hekonsek,Henryk Konsek,1229,1361,12
15375483,xala3pa,Alvaro Salazar 🏡,1239,1769,12
114344410,StriderKeni,Kenny Contreras,1287,2515,12
15083155,Treffynnon,Simon Holywell,891,879,11
2250388520,reactconf,React,1281,237,11
108543137,adamtrousdale,Adam Trousdale,111,247,11
2576368633,rahulpoptani90,Rahul Poptani,25,64,11
113700483,fregolien,John El Gringo,5,340,11
35387866,john_godoi,John Godoi,136,306,11
278208492,singhkorner,Venu Kanaparthy,76,422,10
14825303,shashivelur,Shashi Velur,1158,4973,10
635127078,khrl_imam,Khairul Imam,107,440,10
968480456458063872,mattia_ferrini,Mattia Ferrini,123,583,10
127159325,stephenjaoates,Stephen Oates,838,5001,10
14312163,john_hager,john_hager,67,308,10
419398659,nicokosi,ᑎIᑕOᒪᗩᔕ KOᔕIᑎᔕKI,225,583,10
62558553,kooldudej,Jnana,113,684,10
1025685987710693376,NabihNebbache,nabih nebbache,4,80,10
26810790,najgoricovek,Goran,377,275,10
57721392,chapeupreto,Rod Elias,314,2236,10
797843382626185216,lambdastyle,λbid Uzair,153,1129,10
28626189,newton10471,Matt Newton,35,551,10
626714606,sotmihgeo,Sotirca Mihai,5,66,10
577236847,JoshIzzard6,Josh Izzard,135,1041,10
15333148,gdm3000,Gerard de Melo,1961,665,10
997362043723354112,grauschwurbel,Tut Ench Amour,59,120,9
767384012,pabsren,pabsren,22,437,9
3013632488,Lazy_Lambda,Lazy_,1,51,9
21878073,hisohito,Julia Kostyukova,330,317,9
14270033,cquinn,Carl Quinn,5198,253,9
55280615,dragda,DʌmiЗn,101,599,9
4312895658,Sanjeev5171,Sanjeev,6,72,9
3276968462,chung_gkh,Chung Nguyen,19,101,9
1022054029952786432,v1ckt0rz,Victor Mendez,47,249,9
11179862,rebeco,rebeco,253,440,9
2264703696,Ashutosh_bhard,Ashutosh Bhardwaj,45,856,9
38974743,josephi75,Joseph I,27,144,9
1028677494982029312,Massimi03663386,Massimiliano Trezzi,0,73,9
104514095,eryzhikov,Eugene Ryzhikov,415,111,9
126601155,TomaszDziurko,Tomasz Dziurko,1469,389,9
721641194409697281,arygul008,Gulshan kumar,6,50,9
95286247,ZanMcQuade,Zan McQuade,239,685,9
4507105155,TabithaBlagdon,Tabitha Blagdon,38,82,9
1682701922,pocolou,Pascal Huynh,6,102,9
167914435,h_a_esperance,HELENE LEJEUNE,71,357,8
2459973295,stefanduprey,Stefan Duprey,707,3605,8
1195831,raganw,Ragan Webber,176,284,8
